Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit,roiArea
Output\KO_Pair1_L2R1_1-3.tif,4700,4389,1329,0,71,255,112,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R1_10-12.tif,5382,4722,1569,0,54,255,77,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R1_13-15.tif,4153,4100,1059,0,58,255,69,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R1_4-6.tif,5017,4613,1494,0,64,255,98,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R1_7-9.tif,3996,4635,1204,0,66,255,87,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R2_1-3.tif,6317,4444,1677,0,77,255,95,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R2_10-12.tif,5023,4771,1338,0,66,255,71,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R2_13-15.tif,5099,4412,1231,0,64,255,69,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R2_4-6.tif,5845,4297,1433,0,71,255,89,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R2_7-9.tif,5728,4616,1561,0,65,255,77,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R3_1-3.tif,6668,5162,2223,0,79,255,102,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R3_10-12.tif,5392,4524,1368,0,65,255,77,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R3_13-15.tif,4820,4382,1220,0,65,255,73,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R3_4-6.tif,5712,4708,1611,0,74,255,94,255,4,4,0.141,microns,1048576
Output\KO_Pair1_L2R3_7-9.tif,5043,4462,1371,0,71,255,86,255,4,4,0.141,microns,1048576
Output\KO_Pair2_L2R1_1-3.tif,3484,5947,1147,0,56,255,93,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R1_10-12.tif,3485,5677,1173,0,53,255,93,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R1_13-15.tif,3356,6215,1189,0,50,255,94,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R1_4-6.tif,4248,5742,1339,0,48,255,89,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R1_7-9.tif,3545,6423,1265,0,55,255,83,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R2_1-3.tif,3547,6405,1310,0,50,255,85,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R2_10-12.tif,3261,5973,1175,0,50,255,78,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R2_13-15.tif,3038,5598,1065,0,50,255,82,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R2_4-6.tif,3008,6456,1239,0,54,255,77,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R2_7-9.tif,3400,5762,1170,0,50,255,80,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R3_1-3.tif,2753,6166,1022,0,49,255,81,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R3_10-12.tif,2541,5786,834,0,50,255,77,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R3_13-15.tif,2293,6279,882,0,51,255,74,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R3_4-6.tif,3170,5157,965,0,44,255,85,255,4,4,0.138,microns,1048576
Output\KO_Pair2_L2R3_7-9.tif,2652,5233,869,0,50,255,81,255,4,4,0.138,microns,1048576
Output\KO_Pair3_L2R1_1-3.tif,6372,3972,1782,0,75,255,121,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R1_10-12.tif,4447,3943,1195,0,69,255,83,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R1_13-15.tif,5209,3294,1125,0,58,255,78,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R1_4-6.tif,5041,4185,1463,0,77,255,103,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R1_7-9.tif,5782,4111,1627,0,66,255,90,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R2_1-3.tif,5033,4900,1566,0,74,255,93,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R2_10-12.tif,4183,3456,917,0,62,255,73,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R2_13-15.tif,3781,3130,716,0,62,255,68,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R2_4-6.tif,4535,4832,1373,0,69,255,79,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R2_7-9.tif,4660,4298,1205,0,62,255,75,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R3_1-3.tif,5098,4865,2018,0,64,255,91,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R3_10-12.tif,3811,4122,903,0,62,255,75,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R3_13-15.tif,3800,3833,834,0,61,255,74,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R3_4-6.tif,5413,3299,1164,0,56,255,99,255,4,4,0.141,microns,1048576
Output\KO_Pair3_L2R3_7-9.tif,4707,3839,1154,0,58,255,83,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R1_1-3.tif,5520,4705,2910,0,68,255,103,255,4,4,0.141,microns,1048576
Output\WT_Pair1_L2R1_10-12.tif,4951,4904,2087,0,62,255,90,255,4,4,0.141,microns,1048576
